City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,halifax,44.6453,-63.5724,16.94,95,100,1.34,CA,1723032198
360,tallkayf,36.4894,43.1192,43.96,8,0,2.62,IQ,1723032665
361,cherepovets,59.1333,37.9,17.9,94,75,2.0,RU,1723032666
362,liuhe,42.2401,125.7172,21.59,93,100,0.93,CN,1723032668
363,shenjiamen,29.9576,122.298,27.48,88,100,3.37,CN,1723032669
364,st. john's,47.5649,-52.7093,19.6,77,100,3.58,CA,1723032523
365,pertuis,43.6925,5.5028,34.59,24,76,4.51,FR,1723032671
366,ciudad lazaro cardenas,17.9583,-102.2,26.07,84,98,1.93,MX,1723032672
367,la passe,45.5549,-0.8967,25.57,48,49,4.49,FR,1723032673
368,bir hadaj,31.0263,34.7031,34.73,24,0,4.16,IL,1723032674
369,horta,38.5333,-28.6333,25.8,75,20,6.26,PT,1723032464
370,gorredijk,53.0066,6.064,23.33,63,92,4.6,NL,1723032678
371,gisborne,-38.6533,178.0042,6.47,88,1,3.71,NZ,1723032679
372,carnarvon,-24.8667,113.6333,19.87,82,5,4.87,AU,1723032682
373,copiapo,-27.3667,-70.3333,10.24,83,81,1.0,CL,1723032331
374,guangyuan,32.442,105.823,26.26,88,98,0.55,CN,1723032684
375,sabzevar,36.2126,57.6819,40.65,8,0,6.49,IR,1723032685
376,susuman,62.7833,148.1667,9.47,80,100,1.67,RU,1723032686
377,qarauyl,48.9451,79.255,31.14,21,54,0.23,KZ,1723032688
378,mishkovo-pohorilove,46.9995,32.118,31.9,24,70,4.24,UA,1723032689
379,anton lizardo,19.05,-95.9833,25.12,87,100,1.76,MX,1723032690
380,golhisar,37.1459,29.5088,33.36,21,0,4.11,TR,1723032691
381,howard springs,-12.497,131.047,25.95,76,50,2.13,AU,1723032693
382,east ballina,-28.8667,153.5833,11.56,67,70,3.62,AU,1723032694
383,sursk,53.0754,45.6846,26.93,37,47,3.23,RU,1723032695
384,sechura,-5.5569,-80.8222,17.25,82,50,4.46,PE,1723032696
385,karratha,-20.7377,116.8463,22.49,47,2,3.35,AU,1723032697
386,egilsstadir,65.2653,-14.3948,10.95,76,75,3.6,IS,1723032698
387,gadzhiyevo,69.2551,33.3362,20.52,43,23,0.7,RU,1723032699
388,eatonton,33.3268,-83.3885,25.6,87,87,3.72,US,1723032700
389,brookings,44.3114,-96.7984,15.19,95,0,4.63,US,1723032702
390,arraias,-12.9288,-46.9437,23.47,40,0,3.78,BR,1723032705
391,kone,-21.0595,164.8658,19.17,73,85,1.72,NC,1723032706
392,moorhead,46.8739,-96.7676,17.98,80,20,5.14,US,1723032707
393,noumea,-22.2763,166.4572,21.67,99,82,4.65,NC,1723032708
394,tlahualilo de zaragoza,26.1167,-103.45,24.27,54,100,1.27,MX,1723032709
395,murudeshwara,14.0943,74.4845,27.78,60,100,2.04,IN,1723032710
396,qusmuryn,52.4503,64.6311,25.99,54,59,3.65,KZ,1723032711
397,la leonesa,-27.0379,-58.7035,17.08,96,100,2.14,AR,1723032462
398,mahina,-17.5065,-149.489,24.87,73,20,4.12,PF,1723032713
399,tarazona de la mancha,39.2123,-1.9491,35.96,14,4,3.34,ES,1723032714
400,bodaybo,57.8506,114.1933,20.92,66,6,1.5,RU,1723032715
401,minas de marcona,-15.2119,-75.1103,9.26,95,88,7.36,PE,1723032717
402,xai-xai,-25.0519,33.6442,24.8,46,0,4.1,MZ,1723032718
403,horsham,51.064,-0.3272,21.25,60,40,6.17,GB,1723032448
404,kasongo,-4.45,26.6667,37.78,11,38,2.78,CD,1723032720
405,kenora,49.8167,-94.4337,18.54,72,75,6.69,CA,1723032721
406,nogliki,51.8333,143.1667,15.36,97,100,2.56,RU,1723032722
407,saguenay,48.4168,-71.0657,13.93,72,66,1.34,CA,1723032428
408,nizhnyaya tavda,57.6731,66.1725,15.61,77,100,2.67,RU,1723032724
409,gosaba,22.165,88.7998,28.89,81,100,5.42,IN,1723032725
410,glace bay,46.1969,-59.957,20.09,85,75,5.14,CA,1723032726
411,leua,48.2156,18.6071,31.39,32,69,2.81,SK,1723032727
412,sars,56.5502,57.1366,19.77,87,61,3.18,RU,1723032729
413,lugoj,45.6886,21.9031,29.89,24,4,3.36,RO,1723032730
414,haiku-pauwela,20.9219,-156.3051,24.47,86,0,6.69,US,1723032731
415,franceville,-1.6333,13.5836,37.45,25,50,1.63,GA,1723032732
416,iskateley,67.6803,53.1512,19.05,43,8,3.97,RU,1723032733
417,rodolfo sanchez taboada,31.7167,-116.5667,19.5,78,21,0.89,MX,1723032734
418,san andres,12.5847,-81.7006,28.01,83,40,5.14,CO,1723032735
419,la'ie,21.6477,-157.9253,25.25,80,56,2.68,US,1723032736
420,xiongzhou,25.1167,114.3,28.98,71,34,1.45,CN,1723032737
421,al fulah,11.7329,28.3579,31.17,49,56,6.31,SD,1723032738
422,kailua-kona,19.6406,-155.9956,24.04,92,3,1.8,US,1723032567
423,kizhinga,51.8462,109.9097,16.74,78,55,1.06,RU,1723032740
424,norilsk,69.3535,88.2027,16.5,47,4,9.8,RU,1723032742
425,raahe,64.6833,24.4833,22.05,51,5,2.6,FI,1723032450
426,tolanaro,-25.0319,46.9987,23.04,73,75,6.17,MG,1723032745
427,nouadhibou,20.931,-17.0347,20.37,93,3,7.89,MR,1723032746
428,bush,29.1482,31.1273,39.25,17,0,5.08,EG,1723032747
429,tubarjal,30.4999,38.216,37.64,10,0,4.26,SA,1723032748
430,bandarbeyla,9.4942,50.8122,28.92,67,14,14.08,SO,1723032749
431,rouissat,31.9243,5.3502,38.84,17,0,2.35,DZ,1723032750
432,lochbuie,40.0072,-104.7161,22.81,72,20,3.6,US,1723032751
433,tibiri,13.5627,7.0485,28.19,78,40,4.12,NE,1723032752
434,lanivtsi,49.8633,26.0908,24.47,48,21,3.51,UA,1723032753
435,gebeit,21.0667,36.3167,29.21,55,96,4.68,SD,1723032754
436,meulaboh,4.1363,96.1285,26.08,85,87,3.73,ID,1723032755
437,alofi,-19.0595,-169.9187,20.94,64,75,3.6,NU,1723032757
438,chingirlau,51.095,54.0814,28.05,44,40,0.66,KZ,1723032758
439,shagonar,51.5333,92.8,23.02,42,12,1.61,RU,1723032759
440,bria,6.5423,21.9863,21.02,98,100,2.0,CF,1723032760
441,miracema do tocantins,-9.5618,-48.3967,27.6,26,1,4.09,BR,1723032762
442,bechar,31.6167,-2.2167,38.18,10,11,5.66,DZ,1723032763
443,irymple,-34.25,142.1667,8.94,74,2,4.51,AU,1723032764
444,oroqen zizhiqi,50.5667,123.7167,14.68,95,49,1.74,CN,1723032765
445,abasha,42.2096,42.2211,30.12,45,7,6.87,GE,1723032766
446,nanakuli,21.3906,-158.1547,25.25,73,100,0.0,US,1723032767
447,newman,37.3138,-121.0208,23.49,27,1,1.1,US,1723032768
448,san antonio de pale,-1.4014,5.6325,22.59,80,99,5.14,GQ,1723032769
449,bonthe,7.5264,-12.505,26.41,75,100,4.44,SL,1723032770
450,paciran,-6.8767,112.3761,26.98,81,25,4.87,ID,1723032771
451,hotan,37.0997,79.9269,34.64,10,56,9.46,CN,1723032772
452,alice springs,-23.7,133.8833,14.75,47,0,2.57,AU,1723032774
453,agat village,13.3886,144.6585,29.06,80,0,2.06,GU,1723032776
454,galesong,-5.3166,119.3661,28.01,75,44,0.96,ID,1723032777
455,kiwira,-9.1667,33.5333,26.26,27,0,3.82,TZ,1723032778
456,al bawiti,28.3492,28.8659,38.21,17,0,4.04,EG,1723032779
457,sakaiminato,35.55,133.2333,26.99,78,20,2.57,JP,1723032780
458,chandbali,20.7833,86.7667,29.66,73,92,4.72,IN,1723032781
459,muroto-misakicho,33.2833,134.15,28.8,80,49,2.05,JP,1723032782
460,brandon,27.9378,-82.2859,30.18,88,40,3.09,US,1723032758
461,delta del tigre,-34.7633,-56.3853,11.06,87,100,6.69,UY,1723032784
462,rakops,-21.0167,24.3333,30.88,12,0,4.13,BW,1723032785
463,shache,38.4167,77.2406,34.38,13,0,1.24,CN,1723032786
464,vallenar,-28.5708,-70.7581,8.11,86,69,0.84,CL,1723032787
465,callao,-12.0667,-77.15,15.95,88,100,2.06,PE,1723032788
466,brisas de zicatela,15.8369,-97.0419,25.65,84,69,2.23,MX,1723032789
